metricId,category,unit,persona,surface,location,extracted,canonical,deltaAbs,deltaRel,toleranceAbs,toleranceRel,severity,triageCode,triage
revenue-total-year,revenue,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,computeYearlyData → YearData.totalRevenue (lender + board),—,"[4875000,8710800,11633088,14820187.200000001,18125509.1328]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-total-year,revenue,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildFiveYearProjection — 5-Year Change in Net Assets Projection table revenue row,—,"[4875000,8710800,11633088,14820187.200000001,18125509.1328]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-total-year,revenue,usd,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Five-year overview chart revenue series,—,"[4875000,8710800,11633088,14820187.200000001,18125509.1328]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
revenue-total-year,revenue,usd,liberty,narrative-bundle.revenue-flow,narrativeBundle (commentary base-case figures),—,"[4875000, 8710800, 11633088, 14820187, 18125509]",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,"NarrativeSourceBundle does not expose the raw 5-year revenue array — only derived figures (troughEndingCash, breakEvenYear, etc.) that feed prose. The underlying consultant.revenue array IS diffed by the SUPPLEMENTAL_READERS canonical re-flow section. Bundle figures derived FROM revenue are diffed by their own metric rows."
revenue-per-line-y1-value,revenue,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildRevenueModel → formatRevenueRowY1Value (Revenue Lines table),—,"{""r1"":1640000,""r2"":1760000,""r3"":1900000,""r4"":240000,""r5"":250000,""r6"":60000}",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-per-line-y1-value,revenue,usd,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildAppendixAssumptions revenue rows,—,"{""r1"":1640000,""r2"":1760000,""r3"":1900000,""r4"":240000,""r5"":250000,""r6"":60000}",—,—,1,0.001,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-quality-by-bucket,revenue,pct,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildRevenueModel linkedMetrics 'Year 1 Contracted Revenue %',—,1.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-quality-by-bucket,revenue,pct,liberty,narrative-bundle.revenueQualityY1,narrativeBundle.revenueQualityY1.{contractedPct|projectedPct|donorDependentPct|policyDependentPct} (×100),1.00,1.00,0.00,0.0000%,0.1,—,pass,in-tolerance,in tolerance
revenue-quality-by-bucket,revenue,pct,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Revenue Quality breakdown card,—,1.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
revenue-composition,revenue,pct,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildRevenueModel narrative + linkedMetrics,—,1.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-composition,revenue,pct,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Revenue composition pie chart,—,1.00,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
revenue-hard-coverage-y1,revenue,ratio,liberty,artifacts/api-server/src/lib/packets/build-packet-data.ts,buildRevenueModel linkedMetrics 'Hard Revenue Coverage (Y1)',—,0.000,—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,PacketSection rows are pre-formatted strings (via FigureScribe formatters). Underlying number flows from the same consultant-engine field the canonical resolver reads; covered by build-packet-data tests + canonical-engine-enforcement test. The corresponding consultant-engine field IS diffed via the SUPPLEMENTAL_READERS canonical re-flow section.
revenue-hard-coverage-y1,revenue,ratio,liberty,artifacts/school-financial-model/src/components/consultant/ConsultantAnalysisView.tsx,Revenue Quality card hard-coverage stat,—,0.000,—,—,0.01,—,skipped-structural,acceptable-variance-annotated-in-registry,React component reads `consultant.*` props directly — same canonical source as the resolver. No engine logic in the renderer; visual layer covered by wizard-preview-matches-pdf and the component-state extractor.
cash-runway-months,cash,months,liberty,artifacts/api-server/src/lib/packets/format-runway.ts,formatRunwayMonths / formatRunwayMonthsShort (canonical formatter),—,11.12,—,—,0.1,—,skipped-structural,acceptable-variance-annotated-in-registry,"Pure formatter helper (formatRunwayMonths). Numeric input flows from consultant.cashRunwayMonths, which IS diffed by the SUPPLEMENTAL_READERS canonical re-flow section. Covered by test:format-runway."
