2026-05-11T19:33:19.658645508Z [inf]  Starting Container
2026-05-11T19:33:21.392422745Z [err]  
2026-05-11T19:33:21.392436414Z [err]  Error: Cannot find module 'pdf-lib'
2026-05-11T19:33:21.392440685Z [inf]  [migrate] Running database migrations...
2026-05-11T19:33:21.392448918Z [err]  Require stack:
2026-05-11T19:33:21.392466239Z [err]  - /app/dist/index.cjs
2026-05-11T19:33:21.392487630Z [inf]  [migrate] Schema up to date.
2026-05-11T19:33:21.392497139Z [err]  node:internal/modules/cjs/loader:1386
2026-05-11T19:33:21.392507217Z [err]    throw err;
2026-05-11T19:33:21.392516254Z [err]    ^
2026-05-11T19:33:21.392597711Z [err]      at Function._resolveFilename (node:internal/modules/cjs/loader:1383:15)
2026-05-11T19:33:21.392608697Z [err]      at defaultResolveImpl (node:internal/modules/cjs/loader:1025:19)
2026-05-11T19:33:21.392617407Z [err]      at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1030:22)
2026-05-11T19:33:21.392624153Z [err]      at Function._load (node:internal/modules/cjs/loader:1192:37)
2026-05-11T19:33:21.392631858Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:328:14)
2026-05-11T19:33:21.392639133Z [err]      at wrapModuleLoad (node:internal/modules/cjs/loader:237:24)
2026-05-11T19:33:21.392645521Z [err]      at Module.require (node:internal/modules/cjs/loader:1463:12)
2026-05-11T19:33:21.392651354Z [err]      at require (node:internal/modules/helpers:147:16)
2026-05-11T19:33:21.392656769Z [err]      at Object.<anonymous> (/app/dist/index.cjs:1184:14860)
2026-05-11T19:33:21.392662905Z [err]      at Module._compile (node:internal/modules/cjs/loader:1705:14)
2026-05-11T19:33:21.392669572Z [err]      at Object..js (node:internal/modules/cjs/loader:1838:10)
2026-05-11T19:33:21.392675398Z [err]      at Module.load (node:internal/modules/cjs/loader:1441:32)
2026-05-11T19:33:21.392680990Z [err]      at Function._load (node:internal/modules/cjs/loader:1263:12)
2026-05-11T19:33:21.392686580Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:328:14)
2026-05-11T19:33:23.680653854Z [err]      at wrapModuleLoad (node:internal/modules/cjs/loader:237:24)
2026-05-11T19:33:23.680660847Z [err]      at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:171:5) {
2026-05-11T19:33:23.680666981Z [err]    code: 'MODULE_NOT_FOUND',
2026-05-11T19:33:23.680673226Z [err]    requireStack: [ '/app/dist/index.cjs' ]
2026-05-11T19:33:23.680680028Z [err]  }
2026-05-11T19:33:23.680687157Z [err]  
2026-05-11T19:33:23.680693647Z [err]  Node.js v22.22.2
2026-05-11T19:33:23.680699692Z [inf]  [migrate] Running database migrations...
